    0.01     3.4733
    0.02     3.5176
    0.03     3.4333
    0.04     3.4384
    0.05     3.2735
    0.06     3.3471
    0.07     3.2065
    0.08     3.2354
    0.09     3.2359
    0.10     3.1213
    0.11     3.1647
    0.12     3.1418
    0.13     3.0704
    0.14     3.0807
    0.15     3.0503
    0.16     3.0642
    0.17     3.0401
    0.18     2.9021
    0.19     2.8844
    0.20     2.8992
    0.21     2.8425
    0.22     2.7594
    0.23     2.7455
    0.24     2.7161
    0.25     2.8501
    0.26     2.6889
    0.27     2.6884
    0.28     2.6047
    0.29     2.6247
    0.30     2.5917
    0.31     2.6416
    0.32     2.5240
    0.33     2.5964
    0.34     2.5014
    0.35     2.5565
    0.36     2.4001
    0.37     2.4447
    0.38     2.3686
    0.39     2.3418
    0.40     2.3608
    0.41     2.4223
    0.42     2.2972
    0.43     2.2511
    0.44     2.2476
    0.45     2.2251
    0.46     2.2553
    0.47     2.2033
    0.48     2.1847
    0.49     2.2002
    0.50     2.1223
    0.51     2.1367
    0.52     2.2022
    0.53     2.0260
    0.54     2.0981
    0.55     2.0832
    0.56     1.9700
    0.57     1.9671
    0.58     2.1212
    0.59     2.0733
    0.60     2.0488
    0.61     2.0491
    0.62     1.8514
    0.63     1.8933
    0.64     1.9552
    0.65     1.8858
    0.66     1.9417
    0.67     1.8408
    0.68     1.8469
    0.69     1.9139
    0.70     1.7910
    0.71     1.8123
    0.72     1.7666
    0.73     1.9165
    0.74     1.8180
    0.75     1.7751
    0.76     1.7023
    0.77     1.8178
    0.78     1.7546
    0.79     1.7523
    0.80     1.6459
    0.81     1.6668
    0.82     1.7071
    0.83     1.6155
    0.84     1.7835
    0.85     1.6501
    0.86     1.6060
    0.87     1.5803
    0.88     1.5932
    0.89     1.7026
    0.90     1.6477
    0.91     1.5632
    0.92     1.5569
    0.93     1.6700
    0.94     1.5659
    0.95     1.5596
    0.96     1.5872
    0.97     1.5819
    0.98     1.4939
    0.99     1.4893
    1.00     1.4660
